Lucie	Dupont	lucie.dupont	password1	lucie.dupont@gmail.com	USER
Paul	Bernard	paul.bernard	password2	paul.bernard@outlook.com	AUTHOR
Chloé	Leclerc	chloé.leclerc	password3	chloe.leclerc@yahoo.fr	USER
Alice	Bernard	alice.bernard	password4	alice.bernard@protonmail.com	AUTHOR
Sophie	Bernard	sophie.bernard	password5	sophie.bernard@icloud.com	AUTHOR
Emma	Leclerc	emma.leclerc	password6	emma.leclerc@hotmail.com	USER
Sophie	Dupont	sophie.dupont	password7	sophie.dupont@gmx.com	USER
Lucie	Leclerc	lucie.leclerc	password8	lucie.leclerc@zoho.com	AUTHOR
Martin	Garcia	martin.garcia	password9	martin.garcia@mail.com	USER
Louis	Lambert	louis.lambert	password10	louis.lambert@tutanota.com	AUTHOR
